pos1_est	pos2_est	vel_est	yaw_angle_est	yaw_rate_est	px_measured	py_measured	px_gt	py_gt	vx_gt	vy_gt	rmse_x	rmse_y	rmse_vx	rmse_vy	NIS
0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	0.287757	0.0196602	5.19994	0	0	
0.67473	0.521529	8.86784	1.86563e-17	2.61216e-17	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0.242	0.0572331	4.49968	0.00127057	28.0757	
1.16444	0.488434	8.89205	-0.0515755	-0.0170739	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.199252	0.0796836	4.24431	0.267776	0.0970296	
1.25688	0.509473	8.80505	0.140941	0.145072	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0.183202	0.0827008	4.07505	0.65545	1.84369	
1.64183	0.592745	8.76536	0.255357	0.340238	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.163863	0.0740698	3.92939	1.14379	0.105158	
1.86227	0.57239	5.79573	0.11933	-0.211567	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0.150369	0.0687222	3.59423	1.07865	2.22955	
2.16068	0.621972	5.88493	0.138266	-0.00818599	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.139215	0.0639826	3.33617	1.04054	0.112011	
2.36527	0.665449	5.44984	0.183715	0.329504	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0.13163	0.0634004	3.12123	1.02912	2.22616	
2.63418	0.691563	5.52542	0.140749	-0.0493203	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.125011	0.0657842	2.94416	0.998757	0.0858398	
2.91137	0.660476	5.67495	-0.00900064	-0.855074	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.118918	0.0642047	2.79723	0.94842	0.170984	
3.12626	0.647008	5.30478	-0.0420743	-0.810491	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.115468	0.0618701	2.66725	0.909469	0.868881	
3.42773	0.511963	5.94643	-0.319138	-2.03087	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	0.110903	0.0673093	2.5571	1.0422	0.898368	
3.75289	0.359369	6.48313	-0.504978	-2.45533	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	0.106997	0.098893	2.46048	1.35211	1.46832	
4.04511	0.530829	4.99013	-0.058706	0.423541	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	0.104696	0.0994069	2.3716	1.3086	4.67953	
4.28734	0.541545	4.89823	0.0164401	0.680509	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.102	0.0997131	2.29237	1.26453	0.139966	
4.53868	0.615751	5.34522	0.188431	1.41319	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0.0993515	0.0970568	2.21965	1.24008	0.57991	
