pos1_est	pos2_est	vel_est	yaw_angle_est	yaw_rate_est	px_measured	py_measured	px_gt	py_gt	vx_gt	vy_gt	rmse_x	rmse_y	rmse_vx	rmse_vy	NIS
0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	0.287757	0.0196602	5.19994	0	0	
0.714452	0.588677	7.06888	5.05408e-19	-1.76077e-17	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0.228022	0.0160584	3.90724	0.00127057	74.4652	
1.16101	0.493492	7.07124	-0.0688386	-0.00827341	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.18768	0.0630015	3.36523	0.283931	0.185297	
1.2767	0.513697	7.06623	0.192283	0.038722	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0.170538	0.069758	3.04103	0.7135	1.81013	
1.61348	0.59467	7.08529	0.245166	0.0528749	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.15299	0.0624648	2.82125	0.993209	0.202039	
1.82105	0.569756	6.34435	0.0935453	-0.0574025	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0.143315	0.0585654	2.61564	0.935621	4.25874	
2.15307	0.616075	6.35871	0.108273	-0.0295805	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.132707	0.0544101	2.45864	0.900325	0.159845	
2.36918	0.642841	5.60888	0.0881893	-0.221869	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0.125407	0.0525114	2.304	0.856667	7.98566	
2.64856	0.665695	5.61113	0.0766551	-0.224316	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.118679	0.0529743	2.17633	0.816792	0.00266381	
2.91558	0.655419	5.52709	0.0184747	-0.427099	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.112833	0.0520327	2.06733	0.774907	0.542712	
3.15132	0.652631	5.48482	0.00297829	-0.398831	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.108526	0.0507442	1.9731	0.73926	1.10662	
3.43891	0.544894	5.51829	-0.159471	-0.880019	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	0.104055	0.0535228	1.89058	0.763791	1.48451	
3.7439	0.430256	5.58702	-0.288532	-1.13914	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	0.100237	0.0754103	1.81701	0.876669	2.20381	
4.02357	0.515652	5.54721	-0.145043	-0.577257	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	0.0973863	0.0795421	1.75279	0.883231	4.08173	
4.29783	0.506498	5.53178	-0.140022	-0.494023	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.0954151	0.0848076	1.69507	0.888531	0.349743	
4.55865	0.540334	5.46267	-0.101047	-0.353782	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0.0937276	0.0870156	1.64249	0.881333	2.05245	
4.74806	0.647267	5.30928	0.00302267	-0.0947923	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	0.0909421	0.084552	1.59377	0.856782	12.7689	
5.00141	0.644345	5.26399	-0.0073598	-0.10615	5.20902	0.66599	5.01315	0.679804	5.1727	0.272649	0.0884231	0.0825938	1.54902	0.835871	2.18597	
5.30391	0.641272	5.31026	-0.0149587	-0.111402	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	0.0863806	0.0813039	1.50805	0.818329	2.44269	
5.56131	0.649007	5.31063	-0.00945145	-0.0914703	5.22835	0.639362	5.53013	0.710295	5.16422	0.337868	0.0844817	0.0804215	1.47023	0.802315	1.62474	
5.85516	0.665366	5.33921	-0.00172339	-0.0719942	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	0.0837276	0.0796673	1.43533	0.787409	1.5744	
6.10074	0.590123	5.30763	-0.0558905	-0.150802	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	0.0826255	0.0847719	1.40268	0.783903	3.93385	
6.35783	0.704004	5.28286	0.0180322	-0.030291	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	0.0815911	0.0840124	1.37213	0.770197	4.09102	
6.61055	0.73376	5.2587	0.0309796	-0.00983827	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.0805085	0.0831137	1.34344	0.756901	0.943633	
6.86011	0.733472	5.24653	0.0261133	-0.0154451	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.0793285	0.0831702	1.31648	0.745762	0.338105	
7.10905	0.715352	5.21491	0.010307	-0.0348178	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	0.0780792	0.0854605	1.29103	0.738344	4.00708	
7.33404	0.79949	5.17614	0.0526759	0.0202683	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	0.076622	0.085125	1.26694	0.727588	3.70635	
7.61999	0.810207	5.21201	0.0519058	0.0176496	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	0.0755042	0.0855873	1.24424	0.718349	3.42179	
7.87103	0.791204	5.20452	0.0370114	-0.000247547	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.0743866	0.0886314	1.22274	0.712426	0.552889	
8.12606	0.807266	5.18783	0.0393624	0.00222154	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	0.0733311	0.0925959	1.20231	0.707815	2.99757	
8.36638	0.826357	5.17096	0.0440606	0.00743175	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.0721911	0.0973854	1.18287	0.70419	0.734999	
8.6282	0.908118	5.18479	0.0764567	0.0409556	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	0.0711754	0.0995462	1.16439	0.698045	6.5694	
8.86649	0.966736	5.16763	0.095799	0.0587622	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.0701051	0.100927	1.14672	0.691353	1.1881	
9.15033	1.0019	5.19258	0.102265	0.0618496	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	0.0694102	0.102713	1.12994	0.685356	6.4225	
9.38853	1.0371	5.17599	0.109381	0.066014	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.0685614	0.105013	1.11387	0.680067	0.910705	
9.66239	1.10216	5.19431	0.126832	0.0791444	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	0.0681109	0.106641	1.09857	0.674404	4.57384	
9.93077	1.22368	5.20735	0.165068	0.110767	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	0.068114	0.106169	1.08389	0.666961	3.74029	
10.1864	1.30205	5.20045	0.184396	0.123689	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	0.0682982	0.105343	1.06978	0.659424	5.0446	
10.4159	1.38504	5.18201	0.204619	0.136668	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	0.0680126	0.104256	1.05616	0.651843	1.78312	
10.6603	1.45975	5.16471	0.220466	0.145508	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	0.0676854	0.103115	1.04302	0.644448	5.15737	
10.8913	1.50313	5.14725	0.223638	0.142253	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	0.0671222	0.102315	1.03036	0.637789	1.42954	
11.1534	1.5515	5.15552	0.226733	0.138564	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	0.0668699	0.101946	1.01825	0.631885	1.31981	
11.4261	1.60708	5.17197	0.231385	0.136254	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	0.0673331	0.102011	1.00669	0.626671	1.3074	
11.6652	1.66271	5.15694	0.237704	0.136395	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.0676787	0.102653	0.995552	0.622169	1.37288	
11.8986	1.73355	5.14547	0.248684	0.140192	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.067813	0.103566	0.984802	0.61806	0.739572	
12.1499	1.8143	5.15253	0.260922	0.144329	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	0.0682375	0.104555	0.974494	0.614194	1.16517	
12.3922	1.85786	5.14444	0.260554	0.138044	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.0687528	0.106971	0.964634	0.611601	0.558615	
12.6429	1.91717	5.14891	0.264331	0.135024	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.0696528	0.110495	0.955256	0.609979	0.735283	
12.8506	2.0433	5.12863	0.292972	0.154026	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	0.0697945	0.112644	0.946037	0.607346	4.53912	
13.1065	2.13748	5.14627	0.30543	0.157084	13.2198	2.66441	13.0075	2.33137	4.64258	2.01701	0.0704994	0.114834	0.937282	0.604897	3.55637	
13.3148	2.27316	5.12994	0.334671	0.175606	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	0.0706128	0.115914	0.928657	0.601614	3.80726	
13.5177	2.39849	5.10031	0.360944	0.192365	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	0.0702667	0.11647	0.920128	0.597912	12.7987	
13.7605	2.52124	5.1099	0.38035	0.200472	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.0701698	0.116725	0.911908	0.594083	0.891477	
13.9873	2.62462	5.10129	0.394246	0.204528	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.0701043	0.117191	0.90396	0.590501	0.72007	
14.2128	2.77886	5.10676	0.422891	0.220104	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.070084	0.116947	0.896197	0.586416	1.58458	
14.4548	2.88015	5.11702	0.430357	0.21591	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	0.070494	0.117056	0.888842	0.582789	0.897653	
14.6634	2.97706	5.09832	0.440038	0.215507	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	0.0706798	0.117735	0.881745	0.579667	2.26845	
14.8912	3.11148	5.10674	0.457869	0.220587	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	0.071109	0.118265	0.874943	0.576527	4.30141	
15.0964	3.29843	5.11027	0.494201	0.242174	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	0.0713506	0.117854	0.868164	0.572646	2.89434	
